Sydney;Sydney;-33,92;151,1852;Australia;AU;AUS;New South Wales;admin;4630000
Saint Petersburg;Saint Petersburg;59,939;30,316;Russia;RU;RUS;Sankt-Peterburg;admin;4553000
Chittagong;Chittagong;22,33;91,8;Bangladesh;BD;BGD;Chittagong;admin;4529000
Dongguan;Dongguan;23,0489;113,7447;China;CN;CHN;Guangdong;minor;4528000
Riyadh;Riyadh;24,6408;46,7727;Saudi Arabia;SA;SAU;Ar Riyāḑ;primary;4465000
Hanoi;Hanoi;21,0333;105,85;Vietnam;VN;VNM;Hà Nội;primary;4378000
Guadalajara;Guadalajara;20,67;-103,33;Mexico;MX;MEX;Jalisco;admin;4198000
Melbourne;Melbourne;-37,82;144,975;Australia;AU;AUS;Victoria;admin;4170000
Alexandria;Alexandria;31,2;29,95;Egypt;EG;EGY;Al Iskandarīyah;admin;4165000
Chengdu;Chengdu;30,67;104,07;China;CN;CHN;Sichuan;admin;4123000
Rangoon;Rangoon;16,7834;96,1667;Burma;MM;MMR;Yangon;primary;4088000
Phoenix;Phoenix;33,5722;-112,0891;United States;US;USA;Arizona;admin;4081849
Xi’an;Xi'an;34,275;108,895;China;CN;CHN;Shaanxi;admin;4009000
Porto Alegre;Porto Alegre;-30,05;-51,2;Brazil;BR;BRA;Rio Grande do Sul;admin;3917000
Sūrat;Surat;21,2;72,84;India;IN;IND;Gujarāt;;3842000
Hechi;Hechi;23,0965;109,6091;China;CN;CHN;Guangxi;;3830000
Abidjan;Abidjan;5,32;-4,04;Côte D’Ivoire;CI;CIV;Abidjan;primary;3802000
Brasília;Brasilia;-15,7833;-47,9161;Brazil;BR;BRA;Distrito Federal;primary;3716996
Ankara;Ankara;39,9272;32,8644;Turkey;TR;TUR;Ankara;primary;3716000
Monterrey;Monterrey;25,67;-100,33;Mexico;MX;MEX;Nuevo León;admin;3712000
Yokohama;Yokohama;35,32;139,58;Japan;JP;JPN;Kanagawa;admin;3697894
Nanjing;Nanjing;32,05;118,78;China;CN;CHN;Jiangsu;admin;3679000
Montréal;Montreal;45,5;-73,5833;Canada;CA;CAN;Québec;;3678000
Guiyang;Guiyang;26,58;106,72;China;CN;CHN;Guizhou;admin;3662000
Recife;Recife;-8,0756;-34,9156;Brazil;BR;BRA;Pernambuco;admin;3651000
Seattle;Seattle;47,6211;-122,3244;United States;US;USA;Washington;;3643765
Harbin;Harbin;45,75;126,65;China;CN;CHN;Heilongjiang;admin;3621000
San Francisco;San Francisco;37,7562;-122,443;United States;US;USA;California;;3603761
Fortaleza;Fortaleza;-3,75;-38,58;Brazil;BR;BRA;Ceará;admin;3602319
Zhangzhou;Zhangzhou;24,5204;117,67;China;CN;CHN;Fujian;minor;3531147
Detroit;Detroit;42,3834;-83,1024;United States;US;USA;Michigan;;3522206
Salvador;Salvador;-12,97;-38,48;Brazil;BR;BRA;Bahia;admin;3484000
Busan;Busan;35,0951;129,01;Korea, South;KR;KOR;Busan;admin;3480000
Johannesburg;Johannesburg;-26,17;28,03;South Africa;ZA;ZAF;Gauteng;admin;3435000
Berlin;Berlin;52,5218;13,4015;Germany;DE;DEU;Berlin;primary;3406000
Algiers;Algiers;36,7631;3,0506;Algeria;DZ;DZA;Alger;primary;3354000
Rome;Rome;41,896;12,4833;Italy;IT;ITA;Lazio;primary;3339000
Pyongyang;Pyongyang;39,0194;125,7547;Korea, North;KP;PRK;P’yŏngyang;primary;3300000
Medellín;Medellin;6,275;-75,575;Colombia;CO;COL;Antioquia;admin;3297000
Kabul;Kabul;34,5167;69,1833;Afghanistan;AF;AFG;Kābul;primary;3277000
Athens;Athens;37,9833;23,7333;Greece;GR;GRC;Attikí;primary;3242000
Nagoya;Nagoya;35,155;136,915;Japan;JP;JPN;Aichi;admin;3230000
Cape Town;Cape Town;-33,92;18,435;South Africa;ZA;ZAF;Western Cape;primary;3215000
San Diego;San Diego;32,8312;-117,1225;United States;US;USA;California;;3210314
Changchun;Changchun;43,865;125,34;China;CN;CHN;Jilin;admin;3183000
Casablanca;Casablanca;33,6;-7,6164;Morocco;MA;MAR;Casablanca-Settat;admin;3181000
Dalian;Dalian;38,9228;121,6298;China;CN;CHN;Liaoning;;3167000
Cawnpore;Cawnpore;26,46;80,32;India;IN;IND;Uttar Pradesh;;3162000
Kano;Kano;12;8,52;Nigeria;NG;NGA;Kano;admin;3140000
Tel Aviv-Yafo;Tel Aviv-Yafo;32,08;34,77;Israel;IL;ISR;Tel Aviv;admin;3112000
Addis Ababa;Addis Ababa;9,0333;38,7;Ethiopia;ET;ETH;Ādīs Ābeba;primary;3100000
Curitiba;Curitiba;-25,42;-49,32;Brazil;BR;BRA;Paraná;admin;3084000
Zibo;Zibo;36,8;118,05;China;CN;CHN;Shandong;;3061000
Jeddah;Jeddah;21,5169;39,2192;Saudi Arabia;SA;SAU;Makkah al Mukarramah;;3012000
Nairobi;Nairobi;-1,2833;36,8167;Kenya;KE;KEN;Nairobi City;primary;3010000
Hangzhou;Hangzhou;30,25;120,17;China;CN;CHN;Zhejiang;admin;3007000
Benoni;Benoni;-26,1496;28,3299;South Africa;ZA;ZAF;Gauteng;;2986000
Caracas;Caracas;10,501;-66,917;Venezuela;VE;VEN;Distrito Capital;primary;2985000
Milan;Milan;45,47;9,205;Italy;IT;ITA;Lombardy;admin;2945000
Stuttgart;Stuttgart;48,78;9,2;Germany;DE;DEU;Baden-Württemberg;admin;2944700
Kunming;Kunming;25,07;102,68;China;CN;CHN;Yunnan;admin;2931000
Dar es Salaam;Dar es Salaam;-6,8;39,2683;Tanzania;TZ;TZA;Dar es Salaam;primary;2930000
Minneapolis;Minneapolis;44,9635;-93,2678;United States;US;USA;Minnesota;;2926757
Jaipur;Jaipur;26,9211;75,81;India;IN;IND;Rājasthān;admin;2917000
Taiyuan;Taiyuan;37,875;112,5451;China;CN;CHN;Shanxi;admin;2913000
Frankfurt;Frankfurt;50,1;8,675;Germany;DE;DEU;Hesse;minor;2895000
Qingdao;Qingdao;36,09;120,33;China;CN;CHN;Shandong;minor;2866000
Surabaya;Surabaya;-7,2492;112,7508;Indonesia;ID;IDN;Jawa Timur;admin;2845000
Lisbon;Lisbon;38,7227;-9,1449;Portugal;PT;PRT;Lisboa;primary;2812000
Tampa;Tampa;27,9942;-82,4451;United States;US;USA;Florida;;2804240
Jinan;Jinan;36,675;116,995;China;CN;CHN;Shandong;admin;2798000
Fukuoka;Fukuoka;33,595;130,41;Japan;JP;JPN;Fukuoka;admin;2792000
Campinas;Campinas;-22,9;-47,1;Brazil;BR;BRA;São Paulo;;2791000
Denver;Denver;39,7621;-104,8759;United States;US;USA;Colorado;admin;2787266
Kaohsiung;Kaohsiung;22,6333;120,2666;Taiwan;TW;TWN;Kaohsiung;admin;2769072
Quezon City;Quezon City;14,6504;121,03;Philippines;PH;PHL;Quezon;admin;2761720
Katowice;Katowice;50,2604;19,02;Poland;PL;POL;Śląskie;admin;2746000
Aleppo;Aleppo;36,23;37,17;Syria;SY;SYR;Ḩalab;admin;2738000
Durban;Durban;-29,865;30,98;South Africa;ZA;ZAF;KwaZulu-Natal;;2729000
Kyiv;Kyiv;50,4334;30,5166;Ukraine;UA;UKR;Kyyiv, Misto;primary;2709000
Lucknow;Lucknow;26,855;80,915;India;IN;IND;Uttar Pradesh;admin;2695000
Giza;Giza;30,01;31,19;Egypt;EG;EGY;Al Jīzah;admin;2681863
Zhengzhou;Zhengzhou;34,755;113,6651;China;CN;CHN;Henan;admin;2636000
Taichung;Taichung;24,1521;120,6817;Taiwan;TW;TWN;Taichung;admin;2629323
Brooklyn;Brooklyn;40,6501;-73,9496;United States;US;USA;New York;;2629150
Ibadan;Ibadan;7,38;3,93;Nigeria;NG;NGA;Oyo;admin;2628000
Faisalabad;Faisalabad;31,41;73,11;Pakistan;PK;PAK;Punjab;minor;2617000
Fuzhou;Fuzhou;26,08;119,3;China;CN;CHN;Fujian;admin;2606000
Changsha;Changsha;28,2;112,97;China;CN;CHN;Hunan;admin;2604000
Dakar;Dakar;14,7158;-17,4731;Senegal;SN;SEN;Dakar;primary;2604000
İzmir;Izmir;38,4361;27,1518;Turkey;TR;TUR;İzmir;admin;2587000
Xiangtan;Xiangtan;27,8504;112,9;China;CN;CHN;Hunan;;2586948
Lanzhou;Lanzhou;36,056;103,792;China;CN;CHN;Gansu;admin;2561000
Incheon;Incheon;37,4761;126,6422;Korea, South;KR;KOR;Incheon;admin;2550000
Sapporo;Sapporo;43,075;141,34;Japan;JP;JPN;Hokkaidō;admin;2544000
Xiamen;Xiamen;24,45;118,08;China;CN;CHN;Fujian;minor;2519000
Guayaquil;Guayaquil;-2,22;-79,92;Ecuador;EC;ECU;Guayas;admin;2514000
George Town;George Town;5,4136;100,3294;Malaysia;MY;MYS;Pulau Pinang;admin;2500000
Mashhad;Mashhad;36,27;59,57;Iran;IR;IRN;Khorāsān-e Raẕavī;admin;2469000
Damascus;Damascus;33,5;36,3;Syria;SY;SYR;Dimashq;primary;2466000
Daegu;Daegu;35,8668;128,607;Korea, South;KR;KOR;Daegu;admin;2460000
Nāgpur;Nagpur;21,17;79,09;India;IN;IND;Mahārāshtra;;2454000
Lianshan;Lianshan;40,7503;120,83;China;CN;CHN;Liaoning;minor;2426000
Shijiazhuang;Shijiazhuang;38,05;114,48;China;CN;CHN;Hebei;admin;2417000
Tunis;Tunis;36,8028;10,1797;Tunisia;TN;TUN;Tunis;primary;2412500
Vienna;Vienna;48,2;16,3666;Austria;AT;AUT;Wien;primary;2400000
Jilin;Jilin;43,85;126,55;China;CN;CHN;Jilin;;2396000
Omdurman;Omdurman;15,6167;32,48;Sudan;SD;SDN;Khartoum;;2395159
Bandung;Bandung;-6,95;107,57;Indonesia;ID;IDN;Jawa Barat;admin;2394000
Bekasi;Bekasi;-6,2173;106,9723;Indonesia;ID;IDN;Jawa Barat;;2378211
Mannheim;Mannheim;49,5004;8,47;Germany;DE;DEU;Baden-Württemberg;minor;2362000
Nanchang;Nanchang;28,68;115,88;China;CN;CHN;Jiangxi;admin;2350000
Wenzhou;Wenzhou;28,02;120,6501;China;CN;CHN;Zhejiang;;2350000
Queens;Queens;40,7498;-73,7976;United States;US;USA;New York;;2333054
Vancouver;Vancouver;49,2734;-123,1216;Canada;CA;CAN;British Columbia;;2313328
Birmingham;Birmingham;52,475;-1,92;United Kingdom;GB;GBR;Birmingham;admin;2285000
Cali;Cali;3,4;-76,5;Colombia;CO;COL;Valle del Cauca;admin;2254000
Naples;Naples;40,84;14,245;Italy;IT;ITA;Campania;admin;2250000
Sendai;Sendai;38,2871;141,0217;Japan;JP;JPN;Miyagi;admin;2250000
Manchester;Manchester;53,5004;-2,248;United Kingdom;GB;GBR;Manchester;admin;2230000
Puebla;Puebla;19,05;-98,2;Mexico;MX;MEX;Puebla;admin;2195000
Tripoli;Tripoli;32,8925;13,18;Libya;LY;LBY;Ţarābulus;primary;2189000
Tashkent;Tashkent;41,3117;69,2949;Uzbekistan;UZ;UZB;Toshkent;primary;2184000
Havana;Havana;23,132;-82,3642;Cuba;CU;CUB;La Habana;primary;2174000
Gaoping;Gaoping;30,7804;106,13;China;CN;CHN;Sichuan;minor;2174000
Baltimore;Baltimore;39,3051;-76,6144;United States;US;USA;Maryland;;2170504
Nanning;Nanning;22,82;108,32;China;CN;CHN;Guangxi;admin;2167000
Belém;Belem;-1,45;-48,48;Brazil;BR;BRA;Pará;admin;2167000
Patna;Patna;25,625;85,13;India;IN;IND;Bihār;admin;2158000
Santo Domingo;Santo Domingo;18,4701;-69,9001;Dominican Republic;DO;DOM;Ozama;primary;2154000
Ürümqi;Urumqi;43,805;87,575;China;CN;CHN;Xinjiang;admin;2151000
Zaozhuang;Zaozhuang;34,88;117,57;China;CN;CHN;Shandong;;2145000
Baku;Baku;40,3953;49,8622;Azerbaijan;AZ;AZE;Bakı;primary;2122300
Accra;Accra;5,55;-0,2167;Ghana;GH;GHA;Greater Accra;primary;2121000
Yantai;Yantai;37,5304;121,4;China;CN;CHN;Shandong;;2116000
Medan;Medan;3,58;98,65;Indonesia;ID;IDN;Sumatera Utara;admin;2115000
Santa Cruz;Santa Cruz;-17,7539;-63,226;Bolivia;BO;BOL;Santa Cruz;;2102998
Tongshan;Tongshan;34,28;117,18;China;CN;CHN;Jiangsu;minor;2091000
Riverside;Riverside;33,9381;-117,3948;United States;US;USA;California;;2084749
Linyi;Linyi;35,08;118,33;China;CN;CHN;Shandong;;2082000
St. Louis;St. Louis;38,6358;-90,2451;United States;US;USA;Missouri;;2078283
Las Vegas;Las Vegas;36,2333;-115,2654;United States;US;USA;Nevada;;2073045
Maracaibo;Maracaibo;10,73;-71,66;Venezuela;VE;VEN;Zulia;admin;2072000
Kuwait City;Kuwait City;29,3697;47,9783;Kuwait;KW;KWT;Al ‘Āşimah;primary;2063000
Ad Dammām;Ad Dammam;26,4282;50,0997;Saudi Arabia;SA;SAU;Ash Sharqīyah;admin;2054710
Portland;Portland;45,5371;-122,65;United States;US;USA;Oregon;;2052796
Haikou;Haikou;20,05;110,32;China;CN;CHN;Hainan;admin;2046189
Hiroshima;Hiroshima;34,3878;132,4429;Japan;JP;JPN;Hiroshima;admin;2045000
Baotou;Baotou;40,6522;109,822;China;CN;CHN;Inner Mongolia;;2036000
Hefei;Hefei;31,85;117,28;China;CN;CHN;Anhui;admin;2035000
Indore;Indore;22,7151;75,865;India;IN;IND;Madhya Pradesh;;2026000
Goiânia;Goiania;-16,72;-49,3;Brazil;BR;BRA;Goiás;admin;2022000
Sanaa;Sanaa;15,3547;44,2066;Yemen;YE;YEM;Amānat al ‘Āşimah;primary;2008000
San Antonio;San Antonio;29,4658;-98,5254;United States;US;USA;Texas;;2002530
Port-au-Prince;Port-au-Prince;18,541;-72,336;Haiti;HT;HTI;Ouest;primary;1998000
Haiphong;Haiphong;20,83;106,6801;Vietnam;VN;VNM;Hải Phòng;admin;1969000
Suzhou;Suzhou;33,6361;116,9789;China;CN;CHN;Anhui;;1964000
Nanyang;Nanyang;33,0004;112,53;China;CN;CHN;Henan;;1944000
Bucharest;Bucharest;44,4334;26,0999;Romania;RO;ROU;Bucureşti;primary;1942000
Ningbo;Ningbo;29,88;121,55;China;CN;CHN;Zhejiang;minor;1923000
Douala;Douala;4,0604;9,71;Cameroon;CM;CMR;Littoral;admin;1906000
Tangshan;Tangshan;39,6243;118,1944;China;CN;CHN;Hebei;;1879000
Tainan;Tainan;23;120,2;Taiwan;TW;TWN;Tainan;admin;1876312
Xiping;Xiping;40,08;113,3;China;CN;CHN;Shanxi;minor;1873000
Asunción;Asuncion;-25,2964;-57,6415;Paraguay;PY;PRY;Asunción;primary;1870000
Saidu Sharif;Saidu Sharif;34,75;72,35;Pakistan;PK;PAK;Khyber Pakhtunkhwa;minor;1860310
Brisbane;Brisbane;-27,455;153,0351;Australia;AU;AUS;Queensland;admin;1860000
Rawalpindi;Rawalpindi;33,6;73,04;Pakistan;PK;PAK;Punjab;minor;1858000
Sacramento;Sacramento;38,5667;-121,4683;United States;US;USA;California;admin;1854698
Beirut;Beirut;33,872;35,5097;Lebanon;LB;LBN;Beyrouth;primary;1846000
San Jose;San Jose;37,3021;-121,8489;United States;US;USA;California;;1821899
Minsk;Minsk;53,9;27,5666;Belarus;BY;BLR;Minsk;primary;1805000
Kyōto;Kyoto;35,03;135,75;Japan;JP;JPN;Kyōto;admin;1805000
Barranquilla;Barranquilla;10,96;-74,8;Colombia;CO;COL;Atlántico;admin;1798000
Orlando;Orlando;28,4772;-81,3369;United States;US;USA;Florida;;1776841
Shuyangzha;Shuyangzha;34,1299;118,7734;China;CN;CHN;Jiangsu;;1770000
Valencia;Valencia;10,23;-67,98;Venezuela;VE;VEN;Carabobo;admin;1770000
Hamburg;Hamburg;53,55;10;Germany;DE;DEU;Hamburg;admin;1757000
Vadodara;Vadodara;22,31;73,18;India;IN;IND;Gujarāt;;1756000
Manaus;Manaus;-3,1;-60;Brazil;BR;BRA;Amazonas;admin;1753000
Shangqiu;Shangqiu;34,4504;115,65;China;CN;CHN;Henan;;1753000
Wuxi;Wuxi;31,58;120,3;China;CN;CHN;Jiangsu;minor;1749000
Palembang;Palembang;-2,98;104,75;Indonesia;ID;IDN;Sumatera Selatan;admin;1749000
Brussels;Brussels;50,8333;4,3333;Belgium;BE;BEL;Brussels-Capital Region;primary;1743000
Essen;Essen;51,45;7,0166;Germany;DE;DEU;North Rhine-Westphalia;minor;1742135
Cleveland;Cleveland;41,4767;-81,6805;United States;US;USA;Ohio;;1730363
Bhopal;Bhopal;23,25;77,41;India;IN;IND;Madhya Pradesh;admin;1727000
Hohhot;Hohhot;40,82;111,66;China;CN;CHN;Inner Mongolia;admin;1726000
Pittsburgh;Pittsburgh;40,4396;-79,9763;United States;US;USA;Pennsylvania;;1715297
Luoyang;Luoyang;34,68;112,4701;China;CN;CHN;Henan;;1715000
Santos;Santos;-23,9537;-46,3329;Brazil;BR;BRA;São Paulo;;1709000
Jingling;Jingling;30,6501;113,16;China;CN;CHN;Hubei;;1708000
Warsaw;Warsaw;52,25;21;Poland;PL;POL;Mazowieckie;primary;1707000
Rabat;Rabat;34,0253;-6,8361;Morocco;MA;MAR;Rabat-Salé-Kénitra;primary;1705000
Vitória;Vitoria;-20,324;-40,366;Brazil;BR;BRA;Espírito Santo;admin;1704000
Quito;Quito;-0,215;-78,5001;Ecuador;EC;ECU;Pichincha;primary;1701000
Antananarivo;Antananarivo;-18,9166;47,5166;Madagascar;MG;MDG;Antananarivo;primary;1697000
Coimbatore;Coimbatore;11;76,95;India;IN;IND;Tamil Nādu ;;1696000
Daqing;Daqing;46,58;125;China;CN;CHN;Heilongjiang;;1693000
Lu’an;Lu'an;31,7503;116,48;China;CN;CHN;Anhui;minor;1690000
Sanzhou;Sanzhou;30,82;108,4;China;CN;CHN;Chongqing;;1680000
